,Cel,Ach,Dre,Date
0,0,0,0,1/16/2021
1,0,0,0,1/17/2021
2,0,0,0,1/18/2021
3,0,0,0,1/19/2021
4,0,0,0,1/20/2021
5,0,0,0,1/21/2021
6,0,0,0,1/22/2021
7,0,0,0,1/23/2021
8,0,0,0,1/24/2021
9,0,0,0,1/25/2021
10,0,0,0,1/26/2021
11,0,0,0,1/27/2021
12,0,0,0,1/28/2021
13,0,0,0,1/29/2021
14,0,0,0,1/30/2021
15,0,0,0,1/31/2021
16,0,0,0,2/1/2021
17,0,0,0,2/2/2021
18,0,0,0,2/3/2021
19,0,284,0,2/4/2021
20,321,0,0,2/5/2021
21,0,0,0,2/6/2021
22,0,0,0,2/7/2021
23,0,269,0,2/8/2021
24,409,0,0,2/9/2021
25,363,128,0,2/10/2021
26,0,442,0,2/11/2021
27,0,0,0,2/12/2021
28,0,0,0,2/13/2021
29,0,0,0,2/14/2021
30,0,0,0,2/15/2021
31,0,0,0,2/16/2021
32,0,0,0,2/17/2021
33,0,0,0,2/18/2021
34,0,0,429,2/19/2021
35,0,0,0,2/20/2021
36,0,0,0,2/21/2021
37,0,0,353,2/22/2021
38,0,0,0,2/23/2021
39,0,0,345,2/24/2021
40,0,0,0,2/25/2021
41,0,0,0,2/26/2021
42,0,0,0,2/27/2021
43,0,0,0,2/28/2021
44,0,0,0,3/1/2021
45,0,0,0,3/2/2021
46,0,0,0,3/3/2021
47,0,0,0,3/4/2021
48,0,234,0,3/5/2021
49,0,0,0,3/6/2021
50,0,0,0,3/7/2021
51,263,0,0,3/8/2021
52,0,211,0,3/9/2021
53,180,0,0,3/10/2021
54,0,244,0,3/11/2021
55,0,201,0,3/12/2021
56,0,0,0,3/13/2021
57,0,0,0,3/14/2021
58,295,0,0,3/15/2021
59,262,0,0,3/16/2021
60,293,0,0,3/17/2021
61,282,0,0,3/18/2021
62,469,0,0,3/19/2021
63,0,0,0,3/20/2021
64,0,0,0,3/21/2021
65,0,0,0,3/22/2021
66,0,0,0,3/23/2021
67,0,330,0,3/24/2021
68,0,253,0,3/25/2021
69,0,0,310,3/26/2021
70,0,0,0,3/27/2021
71,0,0,0,3/28/2021
72,0,0,256,3/29/2021
73,0,0,284,3/30/2021
74,0,166,0,3/31/2021
75,0,404,0,4/1/2021
76,0,0,297,4/2/2021
77,0,0,0,4/3/2021
78,0,0,0,4/4/2021
79,0,0,299,4/5/2021
80,0,0,278,4/6/2021
81,326,0,0,4/7/2021
82,250,0,0,4/8/2021
83,0,332,0,4/9/2021
84,0,0,0,4/10/2021
85,0,0,0,4/11/2021
86,0,0,0,4/12/2021
87,0,246,0,4/13/2021
88,0,0,292,4/14/2021
89,0,208,0,4/15/2021
90,0,368,0,4/16/2021
91,0,0,0,4/17/2021
92,0,0,0,4/18/2021
93,294,0,0,4/19/2021
94,283,0,0,4/20/2021
95,0,0,277,4/21/2021
96,0,0,284,4/22/2021
97,322,0,0,4/23/2021
98,0,0,0,4/24/2021
99,0,0,0,4/25/2021
100,234,59,0,4/26/2021
101,0,363,0,4/27/2021
102,0,156,75,4/28/2021
103,0,0,385,4/29/2021
104,0,0,112,4/30/2021
105,0,0,0,5/1/2021
106,0,0,0,5/2/2021
107,303,0,0,5/3/2021
108,291,0,0,5/4/2021
109,0,0,0,5/5/2021
110,0,389,0,5/6/2021
111,0,199,0,5/7/2021
112,0,0,0,5/8/2021
113,0,0,0,5/9/2021
114,0,0,221,5/10/2021
115,0,0,356,5/11/2021
116,0,390,0,5/12/2021
117,0,167,0,5/13/2021
118,279,0,0,5/14/2021
119,0,0,0,5/15/2021
120,0,0,0,5/16/2021
121,279,0,0,5/17/2021
122,0,279,0,5/18/2021
123,0,279,0,5/19/2021
124,0,0,0,5/20/2021
125,0,0,0,5/21/2021
126,0,0,0,5/22/2021
127,0,0,0,5/23/2021
128,0,0,0,5/24/2021
129,0,0,0,5/25/2021
130,0,0,0,5/26/2021
131,0,0,0,5/27/2021
132,0,0,0,5/28/2021
133,0,0,0,5/29/2021
134,0,0,0,5/30/2021
135,0,0,0,5/31/2021
136,0,0,0,6/1/2021
137,0,0,0,6/2/2021
138,0,0,0,6/3/2021
139,0,0,0,6/4/2021
140,0,0,0,6/5/2021
141,0,0,0,6/6/2021
142,0,0,0,6/7/2021
143,0,0,0,6/8/2021
144,0,0,0,6/9/2021
145,0,0,0,6/10/2021
146,0,0,0,6/11/2021
147,0,0,0,6/12/2021
148,0,0,0,6/13/2021
149,0,0,0,6/14/2021
150,0,0,0,6/15/2021
151,0,0,0,6/16/2021
152,0,0,0,6/17/2021
153,0,0,0,6/18/2021
154,0,0,0,6/19/2021
155,0,0,0,6/20/2021
156,0,0,0,6/21/2021
157,0,0,0,6/22/2021
158,0,0,0,6/23/2021
159,0,0,0,6/24/2021
160,0,0,0,6/25/2021
161,0,0,0,6/26/2021
162,0,0,0,6/27/2021
163,0,0,0,6/28/2021
164,0,0,0,6/29/2021
165,0,0,0,6/30/2021
166,0,0,0,7/1/2021
167,0,0,0,7/2/2021
168,0,0,0,7/3/2021
169,0,0,0,7/4/2021
170,0,0,0,7/5/2021
171,0,0,0,7/6/2021
172,0,0,0,7/7/2021
173,0,0,0,7/8/2021
